email,label
"Bom dia, poderiam informar o status da solicitação 4821? Obrigado!",produtivo
"Boa tarde, segue anexo o documento solicitado para continuidade do processo.",produtivo
"Olá, gostaria de saber se houve avanço no ticket 21987.",produtivo
"Prezados, o sistema está apresentando erro ao tentar gerar relatório. Podem verificar?",produtivo
"Boa noite, estou com dificuldade para acessar o portal interno. Podem me ajudar?",produtivo
"Olá equipe, poderiam enviar novamente a nota fiscal referente ao mês de agosto?",produtivo
"Bom dia, preciso atualizar o prazo da minha demanda. Há previsão?",produtivo
"Boa tarde, identifiquei uma divergência no saldo exibido. Podem analisar?",produtivo
"Olá, envio os dados complementares para finalizar a abertura do chamado.",produtivo
"Prezados, o arquivo enviado anteriormente estava incorreto. Segue versão corrigida.",produtivo
"Boa tarde, preciso solicitar a reabertura do chamado 3912. O problema voltou a ocorrer.",produtivo
"Bom dia, poderiam habilitar meu acesso ao sistema X? Preciso usar hoje.",produtivo
"Olá equipe, solicito a troca de senha. Estou sem acesso ao e-mail corporativo.",produtivo
"Prezados, notamos lentidão no sistema desde ontem. Alguma instabilidade conhecida?",produtivo
"Boa tarde, preciso confirmar se receberam o contrato assinado.",produtivo
"Bom dia, estou reenviando o comprovante solicitado. No aguardo.",produtivo
"Olá, o relatório veio incompleto. Podem verificar?",produtivo
"Prezados, poderiam enviar a versão atualizada do manual do sistema?",produtivo
"Boa tarde, solicito alteração do meu cadastro conforme informações anexas.",produtivo
"Bom dia, estou com dúvidas sobre como seguir no processo. Podem orientar?",produtivo
"Prezados, meu acesso ao módulo financeiro foi negado. Podem liberar?",produtivo
"Boa tarde, o link enviado para assinatura não funciona. Podem reenviar?",produtivo
"Bom dia, o boleto emitido está com valor incorreto. Podem verificar?",produtivo
"Prezados, o ticket 5532 pode ser encerrado. O problema foi resolvido.",produtivo
"Olá equipe, solicito uma segunda via do documento anexado.",produtivo
"Boa tarde, estou com dificuldades para anexar arquivos no sistema.",produtivo
"Olá, poderiam confirmar se o arquivo enviado está conforme?",produtivo
"Boa noite, preciso saber se o processo foi encaminhado ao setor responsável.",produtivo
"Prezados, estou enfrentando problemas na autenticação de dois fatores.",produtivo
"Bom dia, há novidades sobre o caso aberto na última semana?",produtivo
"Prezados, envio documentos para atualização cadastral. Anexo.",produtivo
"Bom dia, segue o formulário preenchido conforme solicitado.",produtivo
"Boa tarde, solicito revisão urgente do contrato devido a inconsistências.",produtivo
"Prezados, necessito da planilha atualizada para continuidade do trabalho.",produtivo
"Bom dia, estou com dúvidas sobre o procedimento de reembolso.",produtivo
"Olá, ao processar a operação o sistema retorna erro 504.",produtivo
"Prezados, preciso de declaração referente aos pagamentos realizados em 2024.",produtivo
"Boa tarde, solicito encaminhamento do meu chamado para a equipe técnica.",produtivo
"Bom dia, não consegui acessar o link enviado. Podem conferir?",produtivo
"Prezados, envio print da tela com o erro apresentado para análise.",produtivo
"Boa tarde, poderiam atualizar o andamento do processo 9182?",produtivo
"Bom dia, faturamento do mês está divergente. Podem verificar?",produtivo
"Prezados, solicito orientação sobre como proceder neste caso específico.",produtivo
"Boa tarde, envio documentos obrigatórios para o fechamento do período.",produtivo
"Olá equipe, constatamos falha no envio automático de relatórios.",produtivo
"Bom dia, preciso reativar meu usuário no sistema.",produtivo
"Prezados, solicito liberação de acesso ao servidor interno.",produtivo
"Boa tarde, o contrato está sem assinatura digital. Podem ajustar?",produtivo
"Bom dia, a atualização do sistema gerou erro no módulo financeiro.",produtivo
"Prezados, encaminho solicitação formal para troca de equipamento.",produtivo
"Olá, o arquivo exportado está truncado. Podem verificar o motivo?",produtivo
"Bom dia, solicito urgência na análise do chamado 7754. Impacto operacional.",produtivo
"Prezados, preciso incluir novo usuário no grupo de permissões. Como procedo?",produtivo
"Boa tarde, o backup agendado não foi executado. Podem investigar?",produtivo
"Olá, solicito cancelamento da solicitação 8821 por duplicidade.",produtivo
"Bom dia, preciso de autorização para acessar os logs do sistema.",produtivo
"Prezados, a integração com o sistema Y parou de funcionar hoje pela manhã.",produtivo
"Boa tarde, solicito remanejamento do chamado para outro técnico responsável.",produtivo
"Olá equipe, o certificado digital venceu. Precisamos renovar urgentemente.",produtivo
"Bom dia, há possibilidade de agendar manutenção para o próximo final de semana?",produtivo
"Prezados, não estou recebendo as notificações automáticas do sistema.",produtivo
"Boa tarde, preciso validar se as configurações aplicadas estão corretas.",produtivo
"Olá, solicito extensão do prazo de entrega devido a pendências externas.",produtivo
"Bom dia, o dashboard não está carregando os dados atualizados.",produtivo
"Prezados, identificamos inconsistência nos dados importados. Podem revisar?",produtivo
"Boa tarde, solicito acesso de leitura ao diretório compartilhado.",produtivo
"Olá, preciso exportar o histórico completo de transações do último trimestre.",produtivo
"Bom dia, há previsão de conclusão para a demanda em aberto?",produtivo
"Prezados, o formulário online está retornando erro de validação.",produtivo
"Boa tarde, solicito atualização da versão do aplicativo mobile.",produtivo
"Olá equipe, preciso de orientação sobre política de retenção de dados.",produtivo
"Bom dia, a sincronização entre sistemas não está ocorrendo corretamente.",produtivo
"Prezados, solicito remoção do meu cadastro conforme LGPD.",produtivo
"Boa tarde, o relatório gerencial precisa incluir novos campos. É possível?",produtivo
"Olá, identifiquei duplicidade de registros na base. Podem corrigir?",produtivo
"Bom dia, preciso resetar minha autenticação de dois fatores.",produtivo
"Prezados, solicito migração dos dados para o novo ambiente.",produtivo
"Boa tarde, há como agendar uma call técnica para alinhamento?",produtivo
"Olá, o token de API expirou. Podem gerar um novo?",produtivo
"Bom dia, preciso de permissão para executar scripts no servidor.",produtivo
"Prezados, solicito detalhamento dos custos apresentados na fatura.",produtivo
"Boa tarde, a funcionalidade de pesquisa avançada não está retornando resultados.",produtivo
"Olá equipe, preciso confirmar se o deploy foi realizado com sucesso.",produtivo
"Bom dia, solicito rollback da última atualização devido a instabilidades.",produtivo
"Prezados, há documentação técnica disponível sobre a nova API?",produtivo
